fid,id,left,top,right,bottom
3951,61589,780161.0548063321,5830217.973052206,780211.0548063321,5830267.973052206
3952,61590,780161.0548063321,5830167.973052206,780211.0548063321,5830217.973052206
3953,61591,780161.0548063321,5830117.973052206,780211.0548063321,5830167.973052206
3954,61592,780161.0548063321,5830067.973052206,780211.0548063321,5830117.973052206
3955,61593,780161.0548063321,5830017.973052206,780211.0548063321,5830067.973052206
3956,61594,780161.0548063321,5829967.973052206,780211.0548063321,5830017.973052206
3957,61595,780161.0548063321,5829917.973052206,780211.0548063321,5829967.973052206
3958,61596,780161.0548063321,5829867.973052206,780211.0548063321,5829917.973052206
3959,61597,780161.0548063321,5829817.973052206,780211.0548063321,5829867.973052206
3960,61598,780161.0548063321,5829767.973052206,780211.0548063321,5829817.973052206
3961,61599,780161.0548063321,5829717.973052206,780211.0548063321,5829767.973052206
3962,61600,780161.0548063321,5829667.973052206,780211.0548063321,5829717.973052206
3963,61601,780161.0548063321,5829617.973052206,780211.0548063321,5829667.973052206
3964,61602,780161.0548063321,5829567.973052206,780211.0548063321,5829617.973052206
3965,61603,780161.0548063321,5829517.973052206,780211.0548063321,5829567.973052206
3966,61604,780161.0548063321,5829467.973052206,780211.0548063321,5829517.973052206
3967,61605,780161.0548063321,5829417.973052206,780211.0548063321,5829467.973052206
3968,61606,780161.0548063321,5829367.973052206,780211.0548063321,5829417.973052206
3969,61607,780161.0548063321,5829317.973052206,780211.0548063321,5829367.973052206
3970,61608,780161.0548063321,5829267.973052206,780211.0548063321,5829317.973052206
3971,61609,780161.0548063321,5829217.973052206,780211.0548063321,5829267.973052206
3972,61610,780161.0548063321,5829167.973052206,780211.0548063321,5829217.973052206
3973,61611,780161.0548063321,5829117.973052206,780211.0548063321,5829167.973052206
3974,61612,780161.0548063321,5829067.973052206,780211.0548063321,5829117.973052206
3975,61613,780161.0548063321,5829017.973052206,780211.0548063321,5829067.973052206
3976,61614,780161.0548063321,5828967.973052206,780211.0548063321,5829017.973052206
3977,61615,780161.0548063321,5828917.973052206,780211.0548063321,5828967.973052206
3978,61616,780161.0548063321,5828867.973052206,780211.0548063321,5828917.973052206
3979,61617,780161.0548063321,5828817.973052206,780211.0548063321,5828867.973052206
3980,61618,780161.0548063321,5828767.973052206,780211.0548063321,5828817.973052206
3981,61619,780161.0548063321,5828717.973052206,780211.0548063321,5828767.973052206
3982,61620,780161.0548063321,5828667.973052206,780211.0548063321,5828717.973052206
3983,61621,780161.0548063321,5828617.973052206,780211.0548063321,5828667.973052206
3984,61622,780161.0548063321,5828567.973052206,780211.0548063321,5828617.973052206
3985,61623,780161.0548063321,5828517.973052206,780211.0548063321,5828567.973052206
3986,61624,780161.0548063321,5828467.973052206,780211.0548063321,5828517.973052206
3987,61625,780161.0548063321,5828417.973052206,780211.0548063321,5828467.973052206
3988,61626,780161.0548063321,5828367.973052206,780211.0548063321,5828417.973052206
3989,61627,780161.0548063321,5828317.973052206,780211.0548063321,5828367.973052206
3990,61628,780161.0548063321,5828267.973052206,780211.0548063321,5828317.973052206
3991,61629,780161.0548063321,5828217.973052206,780211.0548063321,5828267.973052206
3992,61630,780161.0548063321,5828167.973052206,780211.0548063321,5828217.973052206
3993,61631,780161.0548063321,5828117.973052206,780211.0548063321,5828167.973052206
3994,61632,780161.0548063321,5828067.973052206,780211.0548063321,5828117.973052206
3995,61633,780161.0548063321,5828017.973052206,780211.0548063321,5828067.973052206
3996,61634,780161.0548063321,5827967.973052206,780211.0548063321,5828017.973052206
3997,61635,780161.0548063321,5827917.973052206,780211.0548063321,5827967.973052206
3998,61636,780161.0548063321,5827867.973052206,780211.0548063321,5827917.973052206
3999,61637,780161.0548063321,5827817.973052206,780211.0548063321,5827867.973052206
4000,61638,780161.0548063321,5827767.973052206,780211.0548063321,5827817.973052206
4001,61639,780161.0548063321,5827717.973052206,780211.0548063321,5827767.973052206
4002,61640,780161.0548063321,5827667.973052206,780211.0548063321,5827717.973052206
4003,61641,780161.0548063321,5827617.973052206,780211.0548063321,5827667.973052206
4004,61642,780161.0548063321,5827567.973052206,780211.0548063321,5827617.973052206
4005,61643,780161.0548063321,5827517.973052206,780211.0548063321,5827567.973052206
4006,61644,780161.0548063321,5827467.973052206,780211.0548063321,5827517.973052206
4007,61645,780161.0548063321,5827417.973052206,780211.0548063321,5827467.973052206
4008,61646,780161.0548063321,5827367.973052206,780211.0548063321,5827417.973052206
4009,61647,780161.0548063321,5827317.973052206,780211.0548063321,5827367.973052206
4010,61648,780161.0548063321,5827267.973052206,780211.0548063321,5827317.973052206
4011,61649,780161.0548063321,5827217.973052206,780211.0548063321,5827267.973052206
4012,61650,780161.0548063321,5827167.973052206,780211.0548063321,5827217.973052206
4013,61651,780161.0548063321,5827117.973052206,780211.0548063321,5827167.973052206
4014,61652,780161.0548063321,5827067.973052206,780211.0548063321,5827117.973052206
4015,61653,780161.0548063321,5827017.973052206,780211.0548063321,5827067.973052206
4016,61654,780161.0548063321,5826967.973052206,780211.0548063321,5827017.973052206
4017,61655,780161.0548063321,5826917.973052206,780211.0548063321,5826967.973052206
4018,61656,780161.0548063321,5826867.973052206,780211.0548063321,5826917.973052206
4019,61657,780161.0548063321,5826817.973052206,780211.0548063321,5826867.973052206
4020,61658,780161.0548063321,5826767.973052206,780211.0548063321,5826817.973052206
4021,61659,780161.0548063321,5826717.973052206,780211.0548063321,5826767.973052206
4022,61660,780161.0548063321,5826667.973052206,780211.0548063321,5826717.973052206
4023,61748,780161.0548063321,5822267.973052206,780211.0548063321,5822317.973052206
4024,61749,780161.0548063321,5822217.973052206,780211.0548063321,5822267.973052206
4025,61750,780161.0548063321,5822167.973052206,780211.0548063321,5822217.973052206
4026,61751,780161.0548063321,5822117.973052206,780211.0548063321,5822167.973052206
4027,61752,780161.0548063321,5822067.973052206,780211.0548063321,5822117.973052206
4028,61753,780161.0548063321,5822017.973052206,780211.0548063321,5822067.973052206
4029,61754,780161.0548063321,5821967.973052206,780211.0548063321,5822017.973052206
4030,61755,780161.0548063321,5821917.973052206,780211.0548063321,5821967.973052206
4031,61756,780161.0548063321,5821867.973052206,780211.0548063321,5821917.973052206
4032,61757,780161.0548063321,5821817.973052206,780211.0548063321,5821867.973052206
4033,61758,780161.0548063321,5821767.973052206,780211.0548063321,5821817.973052206
4034,61759,780161.0548063321,5821717.973052206,780211.0548063321,5821767.973052206
4035,61760,780161.0548063321,5821667.973052206,780211.0548063321,5821717.973052206
4036,61761,780161.0548063321,5821617.973052206,780211.0548063321,5821667.973052206
4037,61762,780161.0548063321,5821567.973052206,780211.0548063321,5821617.973052206
4038,61763,780161.0548063321,5821517.973052206,780211.0548063321,5821567.973052206
4039,61764,780161.0548063321,5821467.973052206,780211.0548063321,5821517.973052206
4040,61765,780161.0548063321,5821417.973052206,780211.0548063321,5821467.973052206
4041,61766,780161.0548063321,5821367.973052206,780211.0548063321,5821417.973052206
4042,61767,780161.0548063321,5821317.973052206,780211.0548063321,5821367.973052206
4043,61768,780161.0548063321,5821267.973052206,780211.0548063321,5821317.973052206
4044,61769,780161.0548063321,5821217.973052206,780211.0548063321,5821267.973052206
4045,61770,780161.0548063321,5821167.973052206,780211.0548063321,5821217.973052206
4046,61771,780161.0548063321,5821117.973052206,780211.0548063321,5821167.973052206
4047,61772,780161.0548063321,5821067.973052206,780211.0548063321,5821117.973052206
4048,61773,780161.0548063321,5821017.973052206,780211.0548063321,5821067.973052206
4049,61774,780161.0548063321,5820967.973052206,780211.0548063321,5821017.973052206
4050,61775,780161.0548063321,5820917.973052206,780211.0548063321,5820967.973052206
4051,61776,780161.0548063321,5820867.973052206,780211.0548063321,5820917.973052206
4052,61777,780161.0548063321,5820817.973052206,780211.0548063321,5820867.973052206
4053,61778,780161.0548063321,5820767.973052206,780211.0548063321,5820817.973052206
4054,61779,780161.0548063321,5820717.973052206,780211.0548063321,5820767.973052206
4055,61780,780161.0548063321,5820667.973052206,780211.0548063321,5820717.973052206
4056,61781,780161.0548063321,5820617.973052206,780211.0548063321,5820667.973052206
4057,61782,780161.0548063321,5820567.973052206,780211.0548063321,5820617.973052206
4058,61783,780161.0548063321,5820517.973052206,780211.0548063321,5820567.973052206
4059,61784,780161.0548063321,5820467.973052206,780211.0548063321,5820517.973052206
4060,61785,780161.0548063321,5820417.973052206,780211.0548063321,5820467.973052206
4061,61786,780161.0548063321,5820367.973052206,780211.0548063321,5820417.973052206
4062,61787,780161.0548063321,5820317.973052206,780211.0548063321,5820367.973052206
4063,61788,780161.0548063321,5820267.973052206,780211.0548063321,5820317.973052206
4064,61789,780161.0548063321,5820217.973052206,780211.0548063321,5820267.973052206
4065,61790,780161.0548063321,5820167.973052206,780211.0548063321,5820217.973052206
4066,61791,780161.0548063321,5820117.973052206,780211.0548063321,5820167.973052206
4067,61792,780161.0548063321,5820067.973052206,780211.0548063321,5820117.973052206
4068,61793,780161.0548063321,5820017.973052206,780211.0548063321,5820067.973052206
4069,61794,780161.0548063321,5819967.973052206,780211.0548063321,5820017.973052206
4070,61795,780161.0548063321,5819917.973052206,780211.0548063321,5819967.973052206
4071,61796,780161.0548063321,5819867.973052206,780211.0548063321,5819917.973052206
4072,61797,780161.0548063321,5819817.973052206,780211.0548063321,5819867.973052206
4073,61798,780161.0548063321,5819767.973052206,780211.0548063321,5819817.973052206
4074,61799,780161.0548063321,5819717.973052206,780211.0548063321,5819767.973052206
4075,61800,780161.0548063321,5819667.973052206,780211.0548063321,5819717.973052206
4076,61801,780161.0548063321,5819617.973052206,780211.0548063321,5819667.973052206
4077,61802,780161.0548063321,5819567.973052206,780211.0548063321,5819617.973052206
4078,61803,780161.0548063321,5819517.973052206,780211.0548063321,5819567.973052206
4079,61804,780161.0548063321,5819467.973052206,780211.0548063321,5819517.973052206
4080,61805,780161.0548063321,5819417.973052206,780211.0548063321,5819467.973052206
4081,61806,780161.0548063321,5819367.973052206,780211.0548063321,5819417.973052206
4082,61807,780161.0548063321,5819317.973052206,780211.0548063321,5819367.973052206
4083,61808,780161.0548063321,5819267.973052206,780211.0548063321,5819317.973052206
4084,61809,780161.0548063321,5819217.973052206,780211.0548063321,5819267.973052206
4085,61810,780161.0548063321,5819167.973052206,780211.0548063321,5819217.973052206
4086,61811,780161.0548063321,5819117.973052206,780211.0548063321,5819167.973052206
4087,61812,780161.0548063321,5819067.973052206,780211.0548063321,5819117.973052206
4088,61813,780161.0548063321,5819017.973052206,780211.0548063321,5819067.973052206
4089,61814,780161.0548063321,5818967.973052206,780211.0548063321,5819017.973052206
4090,61815,780161.0548063321,5818917.973052206,780211.0548063321,5818967.973052206
4091,61816,780161.0548063321,5818867.973052206,780211.0548063321,5818917.973052206
4092,61817,780161.0548063321,5818817.973052206,780211.0548063321,5818867.973052206
4093,61818,780161.0548063321,5818767.973052206,780211.0548063321,5818817.973052206
4094,61819,780161.0548063321,5818717.973052206,780211.0548063321,5818767.973052206
4095,61820,780161.0548063321,5818667.973052206,780211.0548063321,5818717.973052206
4096,61821,780161.0548063321,5818617.973052206,780211.0548063321,5818667.973052206
4097,61822,780161.0548063321,5818567.973052206,780211.0548063321,5818617.973052206
4098,61823,780161.0548063321,5818517.973052206,780211.0548063321,5818567.973052206
4099,61824,780161.0548063321,5818467.973052206,780211.0548063321,5818517.973052206
4100,61825,780161.0548063321,5818417.973052206,780211.0548063321,5818467.973052206
4101,61826,780161.0548063321,5818367.973052206,780211.0548063321,5818417.973052206
4102,61827,780161.0548063321,5818317.973052206,780211.0548063321,5818367.973052206
4103,61828,780161.0548063321,5818267.973052206,780211.0548063321,5818317.973052206
